user_id,category,cat_mean,cat_std
1,Dining,17.1734,10.023442239397134
1,Education,43.4752380952381,23.39686723026132
1,Entertainment,11.605,8.436299544231465
1,Groceries,44.04949152542373,37.368295635505156
1,Healthcare,29.935,14.10592665040715
1,Shopping,54.330000000000005,29.872362595864818
1,Transport,13.70346153846154,4.801283946868956
1,Utilities,46.269999999999996,13.924279155489518
2,Dining,16.780555555555555,7.99654602024951
2,Entertainment,17.168181818181818,9.036660063774951
2,Groceries,43.12444444444444,13.159130592433453
2,Healthcare,27.4325,17.88148274053357
2,Rent,512.3131818181818,114.08549055888136
2,Shopping,66.39948717948718,64.92802683087749
2,Transport,13.4465,9.152214682236403
2,Travel,261.185,119.99125372888048
2,Utilities,60.81375,20.963377966369578
3,Dining,21.608,34.22720579526942
3,Entertainment,16.502608695652174,11.56463033147006
3,Groceries,57.196000000000005,72.8148174023209
3,Healthcare,22.14,19.948802327100093
3,Rent,619.1758620689654,690.2731329207782
3,Shopping,60.633589743589745,64.09440338024348
3,Travel,328.1298076923077,718.198871667638
3,Utilities,54.38333333333333,22.02912768737488
4,Dining,19.798125,8.56930262468331
4,Entertainment,17.42375,12.153814696080678
4,Groceries,37.7785,17.320816814694542
4,Healthcare,57.58,5.953839097590731
4,Rent,522.5452173913044,105.05285028669944
4,Shopping,55.91777777777778,38.27821917869304
4,Transport,14.403076923076924,11.672877053428323
4,Travel,223.6011111111111,113.00520999542945
4,Utilities,53.5,19.769977659741215
5,Dining,15.763478260869565,13.64502989979075
5,Entertainment,28.8321052631579,63.20214013420638
5,Groceries,46.7946875,31.084822869085475
5,Healthcare,49.35166666666667,23.445149107366895
5,Rent,800.4819047619047,1364.2673353291834
5,Shopping,42.695,35.213891536478286
5,Transport,12.933513513513514,6.585540649456631
5,Travel,183.66294117647058,111.36604070388256
5,Utilities,61.427058823529414,16.81809693630119
6,Dining,18.938695652173916,10.025813041831494
6,Education,22.678125,22.151005460625633
6,Entertainment,15.606818181818182,8.820809479301198
6,Groceries,41.111463414634144,19.50184818946343
6,Healthcare,124.244,191.1843656787866
6,Shopping,57.551,44.323327575537704
