user_id,category,year_month,amount
1,Dining,2026-03,178.13
1,Dining,2026-04,209.1
1,Dining,2026-05,131.1
1,Dining,2026-06,151.92
1,Dining,2026-07,160.95
1,Dining,2026-08,27.47
1,Education,2026-03,141.73
1,Education,2026-04,112.94999999999999
1,Education,2026-05,394.37
1,Education,2026-06,27.36
1,Education,2026-07,79.13000000000001
1,Education,2026-08,157.44
1,Entertainment,2026-03,60.4
1,Entertainment,2026-04,134.54
1,Entertainment,2026-05,51.25
1,Entertainment,2026-06,16.869999999999997
1,Entertainment,2026-07,111.87
1,Entertainment,2026-08,63.63
1,Entertainment,2026-09,2.43
1,Groceries,2026-03,368.58
1,Groceries,2026-04,720.87
1,Groceries,2026-05,423.83
1,Groceries,2026-06,275.62
1,Groceries,2026-07,461.24
1,Groceries,2026-08,284.59
1,Groceries,2026-09,64.19
1,Healthcare,2026-03,23.45
1,Healthcare,2026-05,48.4
1,Healthcare,2026-08,47.89
1,Shopping,2026-04,138.89999999999998
1,Shopping,2026-05,314.40000000000003
1,Shopping,2026-06,75.78
1,Shopping,2026-07,312.14
1,Shopping,2026-08,136.72
1,Transport,2026-03,46.67
1,Transport,2026-04,28.87
1,Transport,2026-05,74.57
1,Transport,2026-06,80.33
1,Transport,2026-07,41.3
1,Transport,2026-08,84.55
1,Utilities,2026-03,72.23
1,Utilities,2026-04,50.27
1,Utilities,2026-05,54.23
1,Utilities,2026-07,54.62
2,Dining,2026-03,144.71
2,Dining,2026-04,122.07
2,Dining,2026-05,58.5
2,Dining,2026-06,102.36
2,Dining,2026-07,46.22
2,Dining,2026-08,130.24
2,Entertainment,2026-03,66.56
2,Entertainment,2026-04,92.33
2,Entertainment,2026-05,70.25
2,Entertainment,2026-06,36.13
2,Entertainment,2026-07,81.27
2,Entertainment,2026-08,31.159999999999997
2,Groceries,2026-03,254.47
2,Groceries,2026-04,262.24
2,Groceries,2026-05,105.25
2,Groceries,2026-06,301.34999999999997
2,Groceries,2026-07,108.59
2,Groceries,2026-08,132.45999999999998
2,Healthcare,2026-03,1.0
2,Healthcare,2026-05,39.46
2,Healthcare,2026-06,32.17
2,Healthcare,2026-08,37.1
2,Rent,2026-03,2170.71
2,Rent,2026-04,1239.23
2,Rent,2026-05,2634.7
2,Rent,2026-06,912.78
2,Rent,2026-07,588.4
2,Rent,2026-08,3725.07
2,Shopping,2026-03,773.5699999999999
2,Shopping,2026-04,221.34
2,Shopping,2026-05,334.36
2,Shopping,2026-06,415.86
2,Shopping,2026-07,579.4100000000001
2,Shopping,2026-08,265.04
2,Transport,2026-03,41.32
2,Transport,2026-04,101.5
2,Transport,2026-05,61.68
2,Transport,2026-06,97.23
2,Transport,2026-07,158.99
2,Transport,2026-08,47.769999999999996
2,Transport,2026-09,29.37
2,Travel,2026-03,240.45
2,Travel,2026-04,444.67
2,Travel,2026-05,621.88
2,Travel,2026-06,202.2
2,Travel,2026-08,580.28
2,Utilities,2026-03,235.59
2,Utilities,2026-04,303.13
2,Utilities,2026-05,320.21000000000004
2,Utilities,2026-06,265.52
2,Utilities,2026-07,195.96999999999997
2,Utilities,2026-08,139.11
3,Dining,2026-03,36.86
3,Dining,2026-04,71.95
3,Dining,2026-05,327.09000000000003
3,Dining,2026-06,71.33999999999999
3,Dining,2026-07,78.38
3,Dining,2026-08,62.620000000000005
3,Entertainment,2026-03,73.17
3,Entertainment,2026-04,90.48
3,Entertainment,2026-05,48.43
3,Entertainment,2026-06,45.29
3,Entertainment,2026-07,34.47
3,Entertainment,2026-08,87.72
3,Groceries,2026-03,84.53999999999999
3,Groceries,2026-04,48.77
3,Groceries,2026-05,267.74
3,Groceries,2026-06,143.52
3,Groceries,2026-07,356.06
3,Groceries,2026-08,529.27
3,Healthcare,2026-04,137.68
3,Healthcare,2026-06,38.44
3,Healthcare,2026-08,1.0
3,Rent,2026-03,1800.01
3,Rent,2026-04,1558.67
3,Rent,2026-05,3397.4300000000003
3,Rent,2026-06,6004.09
3,Rent,2026-07,2402.53
3,Rent,2026-08,2793.37
3,Shopping,2026-03,516.54
3,Shopping,2026-04,278.35
3,Shopping,2026-05,292.93
3,Shopping,2026-06,366.33
3,Shopping,2026-07,480.59
3,Shopping,2026-08,429.97
3,Travel,2026-03,269.78999999999996
3,Travel,2026-04,2064.67
3,Travel,2026-05,6761.5599999999995
3,Travel,2026-06,2235.1
3,Travel,2026-07,2556.9700000000003
3,Travel,2026-08,3174.66
3,Utilities,2026-03,98.02000000000001
3,Utilities,2026-04,52.76
3,Utilities,2026-06,56.22
3,Utilities,2026-07,38.0
3,Utilities,2026-08,81.3
4,Dining,2026-03,154.86
4,Dining,2026-04,141.66
4,Dining,2026-05,155.23
4,Dining,2026-06,203.59
4,Dining,2026-07,176.38
4,Dining,2026-08,118.59
4,Entertainment,2026-03,106.84
4,Entertainment,2026-04,34.33
4,Entertainment,2026-05,34.11
4,Entertainment,2026-06,41.69
4,Entertainment,2026-07,56.82
4,Entertainment,2026-08,4.99
4,Groceries,2026-03,237.73
4,Groceries,2026-04,148.4
4,Groceries,2026-05,126.96000000000001
4,Groceries,2026-06,251.24
4,Groceries,2026-07,430.18
4,Groceries,2026-08,316.63
4,Healthcare,2026-03,53.37
4,Healthcare,2026-06,61.79
4,Rent,2026-03,2409.33
4,Rent,2026-04,1500.2
4,Rent,2026-05,3284.5299999999997
4,Rent,2026-06,1033.4099999999999
4,Rent,2026-07,2326.58
4,Rent,2026-08,1464.49
4,Shopping,2026-03,335.3
4,Shopping,2026-04,326.07
4,Shopping,2026-05,309.58000000000004
4,Shopping,2026-06,173.76
4,Shopping,2026-07,565.45
4,Shopping,2026-08,289.93
4,Shopping,2026-09,12.95
4,Transport,2026-03,27.55
4,Transport,2026-04,67.63
4,Transport,2026-05,91.27
4,Transport,2026-06,106.3
4,Transport,2026-07,70.8
4,Transport,2026-08,158.67000000000002
4,Transport,2026-09,39.5
4,Travel,2026-03,606.05
4,Travel,2026-04,342.51
4,Travel,2026-08,1063.85
4,Utilities,2026-03,104.55000000000001
4,Utilities,2026-04,308.40999999999997
4,Utilities,2026-05,65.68
4,Utilities,2026-06,70.86
4,Utilities,2026-07,41.67
4,Utilities,2026-08,104.33
5,Dining,2026-03,153.85
5,Dining,2026-04,67.24000000000001
5,Dining,2026-05,176.57
5,Dining,2026-06,93.83
5,Dining,2026-07,138.87
5,Dining,2026-08,94.76
5,Entertainment,2026-03,101.81
5,Entertainment,2026-04,9.88
5,Entertainment,2026-05,30.21
5,Entertainment,2026-06,22.51
5,Entertainment,2026-07,12.94
5,Entertainment,2026-08,370.46000000000004
5,Groceries,2026-03,102.62
5,Groceries,2026-04,528.54
5,Groceries,2026-05,383.43
5,Groceries,2026-06,317.63
5,Groceries,2026-07,45.16
5,Groceries,2026-08,120.05
5,Healthcare,2026-04,70.31
5,Healthcare,2026-05,30.98
5,Healthcare,2026-07,128.73
5,Healthcare,2026-08,66.09
5,Rent,2026-03,2177.86
5,Rent,2026-04,9401.75
5,Rent,2026-05,1385.31
5,Rent,2026-06,1050.42
5,Rent,2026-07,1446.33
5,Rent,2026-08,1348.45
5,Shopping,2026-03,75.77
5,Shopping,2026-04,204.75
5,Shopping,2026-05,200.14
5,Shopping,2026-06,325.03
5,Shopping,2026-07,420.34000000000003
5,Shopping,2026-08,310.99
5,Transport,2026-03,147.34
5,Transport,2026-04,107.22
5,Transport,2026-05,41.17
5,Transport,2026-06,136.6
5,Transport,2026-07,21.44
5,Transport,2026-08,24.77
5,Travel,2026-03,313.11
5,Travel,2026-04,185.81
5,Travel,2026-05,679.58
5,Travel,2026-06,405.1
5,Travel,2026-07,1049.8799999999999
5,Travel,2026-08,488.79
